Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q12489	107	12,175	developmental process involved in reproduction [GO:0003006]		cellular bud membrane [GO:0033101]; integral component of membrane [GO:0016021]; mating projection membrane [GO:0070250]; plasma membrane [GO:0005886]
Q07435	109	12,165			integral component of membrane [GO:0016021]
Q03856	440	49,056	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q12441	440	49,187	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q03900	495	57,194	protein homooligomerization [GO:0051260]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q07793	1604	181,661	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
Q3E796	67	7,673			integral component of membrane [GO:0016021]
P0C5E0	132	13,746			integral component of membrane [GO:0016021]
Q03482	75	8,571	developmental process involved in reproduction [GO:0003006]		cellular bud membrane [GO:0033101]; integral component of membrane [GO:0016021]; mating projection membrane [GO:0070250]
Q12392	438	49,689	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
Q07658	213	24,163			
Q03780	787	86,433			cytoplasm [GO:0005737]
Q03787	373	43,790			
P87267	123	13,086			integral component of membrane [GO:0016021]
Q2V2P7	80	9,103			
Q04408	483	55,490		nucleic acid binding [GO:0003676]	mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q03049	344	38,586	response to furfural [GO:1901426]	aldehyde dehydrogenase (NADP+) activity [GO:0033721]; coenzyme binding [GO:0050662]	
Q2V2P8	89	10,244	chromosome segregation [GO:0007059]	centromeric DNA binding [GO:0019237]	kinetochore [GO:0000776]
P39978	195	21,721			
P39972	122	13,994			
P40049	302	33,466			
P40095	573	63,712			
Q8TGU3	33	3,764			
A0A023PZD0	216	24,214			integral component of membrane [GO:0016021]
P43580	148	17,180			
P43540	174	20,427			
P43537	175	16,473	cellular response to osmotic stress [GO:0071470]; response to oxidative stress [GO:0006979]; UV protection [GO:0009650]	structural molecule activity [GO:0005198]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]
Q03186	124	14,510			integral component of membrane [GO:0016021]
Q8TGP1	76	8,264			
Q8TGT8	28	3,395			
P53211	109	11,897			
P0C2J2	438	49,772		RNA binding [GO:0003723]	cytoplasm [GO:0005737]
Q3E786	66	7,827			
P53249	370	40,877			
P48236	432	51,647			integral component of membrane [GO:0016021]
P42936	225	26,297		translation elongation factor activity [GO:0003746]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53175	101	12,058			
P53151	121	14,219			integral component of membrane [GO:0016021]
P53116	101	11,645			integral component of membrane [GO:0016021]
P53110	370	41,635			
P53054	175	20,131			
O13536	103	11,902			
Q8TGK1	99	11,184			
Q6Q5P6	413	48,214	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	retrotransposon nucleocapsid [GO:0000943]
A0A023PYH8	122	14,124			
P0CL42	160	18,605			integral component of membrane [GO:0016021]
P40538	142	16,587			integral component of membrane [GO:0016021]
Q12324	675	77,953	cellular cation homeostasis [GO:0030003]	calcium activated cation channel activity [GO:0005227]; calcium channel activity [GO:0005262]; potassium channel activity [GO:0005267]; sodium channel activity [GO:0005272]; voltage-gated ion channel activity [GO:0005244]	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; vacuole-mitochondrion membrane contact site [GO:1990816]
P53735	605	67,461	regulation of sequestering of zinc ion [GO:0061088]; response to zinc ion [GO:0010043]; zinc II ion transport [GO:0006829]	zinc ion transmembrane transporter activity [GO:0005385]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q3E838	28	3,377			
P43590	535	61,754		aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]	integral component of membrane [GO:0016021]
P43624	122	14,003			integral component of membrane [GO:0016021]
Q8TGU1	46	5,305			
P53210	297	34,679		FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]	
P53216	100	11,711			
P53232	107	12,091			
P0CX64	1770	202,039	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P53272	402	45,305	negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]		
P53273	1036	116,971		secondary active sulfate transmembrane transporter activity [GO:0008271]; sulfate transmembrane transporter activity [GO:0015116]	integral component of plasma membrane [GO:0005887]; vacuolar membrane [GO:0005774]
P48238	217	25,169			
P0C5N3	154	18,103			mitochondrion [GO:0005739]
P53300	117	13,612			
P53307	113	13,267			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40326	108	12,279			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53339	147	16,782			integral component of membrane [GO:0016021]
P38769	630	72,307	ER to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]	GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270]	COPII vesicle coat [GO:0030127]; cytosol [GO:0005829]
P38776	514	57,838	drug transport [GO:0015893]; proton transport [GO:0015992]	antiporter activity [GO:0015297]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P38780	354	41,061			
P38841	114	12,753	vacuole fusion, non-autophagic [GO:0042144]	endopeptidase inhibitor activity [GO:0004866]	fungal-type vacuole [GO:0000324]
Q8TGN5	46	5,935			
Q2V2P5	75	8,502	dolichol metabolic process [GO:0019348]; GPI anchor biosynthetic process [GO:0006506]; protein O-linked mannosylation [GO:0035269]	enzyme regulator activity [GO:0030234]	dolichol-phosphate-mannose synthase complex [GO:0033185]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]
Q3E775	16	1,976			
P47023	414	48,035	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	retrotransposon nucleocapsid [GO:0000943]
P47121	122	13,981			
P47024	1803	207,710	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]; viral release from host cell [GO:0019076]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P47139	656	74,235	lipid metabolic process [GO:0006629]	O-acyltransferase activity [GO:0008374]	mitochondrion [GO:0005739]
Q8TGT3	32	4,015			
P47151	130	13,965			
P47080	104	11,857			integral component of membrane [GO:0016021]
P47012	105	12,374			
P46991	170	17,732			integral component of membrane [GO:0016021]
P46986	105	12,477			integral component of membrane [GO:0016021]
P40895	119	13,857			
P39529	758	86,663	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
P47085	338	38,482			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P36133	167	19,222			
P36138	183	20,226			cytoplasm [GO:0005737]
P36158	585	68,281	endocytosis [GO:0006897]; protein retention in Golgi apparatus [GO:0045053]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle organization [GO:0016050]	phosphatidylinositol-3-phosphate binding [GO:0032266]	cytosol [GO:0005829]; endosome [GO:0005768]; extrinsic component of membrane [GO:0019898]
Q86ZR7	236	26,170		magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]	cytoplasm [GO:0005737]
P36067	173	19,761			
Q07799	665	76,622	intracellular signal transduction [GO:0035556]; mitophagy [GO:0000422]		mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q07978	186	21,846			
Q07986	203	23,378		ATP binding [GO:0005524]	integral component of membrane [GO:0016021]
Q12253	270	31,054	response to stress [GO:0006950]; transport [GO:0006810]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q12336	168	19,283			integral component of membrane [GO:0016021]
Q12327	114	13,157			
P54072	576	64,032	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]
O13561	117	13,710			integral component of membrane [GO:0016021]
Q06267	115	13,564			
Q05948	407	46,423	response to oxidative stress [GO:0006979]		cytoplasm [GO:0005737]
Q3E732	38	4,521			
Q8TGM4	44	4,942			
Q05899	129	13,947			integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]
Q3E810	57	6,559			integral component of membrane [GO:0016021]
Q06139	101	11,348			mitochondrion [GO:0005739]
Q3E795	98	11,050			
Q8TGM1	34	3,658			
Q06689	675	72,698			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q06409	1932	221,563	intracellular signal transduction [GO:0035556]; mitophagy [GO:0000422]; small GTPase mediated signal transduction [GO:0007264]	guanyl-nucleotide exchange factor activity [GO:0005085]	mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q06188	304	35,508	positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]	chromatin binding [GO:0003682]	cytosol [GO:0005829]; NuA3b histone acetyltransferase complex [GO:1990468]; NuA3 histone acetyltransferase complex [GO:0033100]; nucleus [GO:0005634]
Q8TGJ7	56	6,411			
Q6Q572	108	11,879			
Q6B0Y6	121	14,509			integral component of membrane [GO:0016021]
Q6B2I9	109	12,629			integral component of membrane [GO:0016021]
Q3E842	84	7,981			endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q6B0X1	177	20,384			
P0C5Q3	49	5,704			integral component of membrane [GO:0016021]
P0CX69	440	49,129	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
A0A023PXH6	127	14,518			integral component of membrane [GO:0016021]
P40207	237	27,921	cellular iron ion homeostasis [GO:0006879]; ergosterol biosynthetic process [GO:0006696]; mitochondrion organization [GO:0007005]		cell [GO:0005623]; integral component of membrane [GO:0016021]
P0C5Q5	64	7,016			
A0A023PXH2	111	12,510			
Q03219	274	31,145			
Q03722	664	76,138			
Q04501	128	15,034			integral component of membrane [GO:0016021]
Q03207	126	14,473			
Q03687	405	46,872			integral component of membrane [GO:0016021]
P03881	472	56,413	DNA metabolic process [GO:0006259]; Group I intron splicing [GO:0000372]; RNA folding [GO:0034337]	deoxyribonuclease activity [GO:0004536]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; RNA binding [GO:0003723]	mitochondrion [GO:0005739]
P53846	198	23,328	ribosomal large subunit biogenesis [GO:0042273]; translational initiation [GO:0006413]		nucleus [GO:0005634]
Q3E841	98	10,781			cytosol [GO:0005829]
P53837	131	14,116			
P53826	146	16,051			
P53821	84	9,700			
P53717	134	14,726			integral component of membrane [GO:0016021]
P53862	258	28,642			integral component of membrane [GO:0016021]
Q08110	124	13,917			
Q8TGS1	66	7,709			integral component of membrane [GO:0016021]
Q3E7Z9	31	3,621			
Q08222	106	11,284			
Q12275	1648	186,907	metabolic process [GO:0008152]	catalytic activity [GO:0003824]	integral component of membrane [GO:0016021]
Q08300	171	19,574			cytoplasm [GO:0005737]
P0CF19	215	24,483	transmembrane transport [GO:0055085]	transmembrane transporter activity [GO:0022857]	integral component of membrane [GO:0016021]; membrane [GO:0016020]
P0CL40	160	18,568			integral component of membrane [GO:0016021]
Q12219	294	34,975			
Q12251	326	35,913	3'-phospho-5'-adenylyl sulfate transmembrane transport [GO:1902559]; 5'-adenylyl sulfate transmembrane transport [GO:1902558]; translation [GO:0006412]	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity [GO:0046964]; 5'-adenylyl sulfate transmembrane transporter activity [GO:1902557]; structural constituent of ribosome [GO:0003735]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P0C5R9	85	9,361	rRNA transcription [GO:0009303]	endoribonuclease activity [GO:0004521]	integral component of membrane [GO:0016021]
Q08954	240	26,758			cytoplasm [GO:0005737]
Q99401	129	13,704			integral component of membrane [GO:0016021]
Q12523	523	57,324			cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q08984	517	59,389			
Q08990	100	11,421			
A0A023PXI5	187	21,368			
P43587	155	18,187	cellular ion homeostasis [GO:0006873]; glycogen metabolic process [GO:0005977]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; negative regulation of protein dephosphorylation [GO:0035308]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; regulation of protein localization to nucleus [GO:1900180]	protein phosphatase type 1 activator activity [GO:0071862]; protein serine/threonine phosphatase inhibitor activity [GO:0004865]	nucleus [GO:0005634]; protein phosphatase type 1 complex [GO:0000164]
P38070	525	59,591	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P46951	817	95,366	establishment of protein localization to plasma membrane [GO:0090002]; protein targeting to vacuole [GO:0006623]; receptor-mediated endocytosis [GO:0006898]; response to pheromone [GO:0019236]		actin cortical patch [GO:0030479]; cytosol [GO:0005829]; endosome [GO:0005768]; plasma membrane [GO:0005886]
P38279	296	33,497	basic amino acid transmembrane export from vacuole [GO:0034488]	basic amino acid transmembrane transporter activity [GO:0015174]	integral component of fungal-type vacuolar membrane [GO:0071627]; mitochondrial membrane [GO:0031966]
O13583	123	14,206			integral component of membrane [GO:0016021]
P38815	214	24,646		phosphatidylinositol-3-phosphate binding [GO:0032266]	endosome membrane [GO:0010008]
P32939	208	23,043	CVT pathway [GO:0032258]; endocytosis [GO:0006897]; macroautophagy [GO:0016236]; phagosome-lysosome fusion [GO:0090385]; piecemeal microautophagy of nucleus [GO:0034727]; protein localization to vacuole [GO:0072665]; regulation of vacuole fusion, non-autophagic [GO:0032889]; retrograde transport, endosome to Golgi [GO:0042147]; small GTPase mediated signal transduction [GO:0007264]; vacuole inheritance [GO:0000011]; vesicle-mediated transport [GO:0016192]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; late endosome [GO:0005770]; lysosome [GO:0005764]; phagocytic vesicle [GO:0045335]; vacuole-mitochondrion membrane contact site [GO:1990816]
