Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
P32917	STE5_YEAST	Protein STE5	cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	MAP-kinase scaffold activity [GO:0005078]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]	invasive growth in response to glucose limitation [GO:0001403]; negative regulation of MAPK cascade [GO:0043409]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of protein phosphorylation [GO:0001934]; regulation of transposition, RNA-mediated [GO:0010525]	917	102,727
P06784	STE7_YEAST	Serine/threonine-protein kinase STE7 (EC 2.7.12.2)	cytoplasm [GO:0005737]; mating projection tip [GO:0043332]	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; receptor signaling protein serine/threonine kinase activity [GO:0004702]	activation of MAPK activity involved in conjugation with cellular fusion [GO:0071508]; invasive growth in response to glucose limitation [GO:0001403]; MAPK cascade involved in cell wall organization or biogenesis [GO:0000196]; MAPK cascade involved in conjugation with cellular fusion [GO:0071507]; protein phosphorylation [GO:0006468]; pseudohyphal growth [GO:0007124]; regulation of transposition, RNA-mediated [GO:0010525]; signal transduction involved in filamentous growth [GO:0001402]	515	57,709
P39932	STL1_YEAST	Sugar transporter STL1	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	glucose transmembrane transporter activity [GO:0005355]; solute:proton symporter activity [GO:0015295]; sugar:proton symporter activity [GO:0005351]	glucose import [GO:0046323]; glycerol transport [GO:0015793]; hexose transmembrane transport [GO:0035428]; transmembrane transport [GO:0055085]	569	63,532
P39015	STM1_YEAST	Suppressor protein STM1 (3BP1) (GU4 nucleic-binding protein 2) (G4p2 protein) (POP2 multicopy suppressor protein 4) (Ribosomal subunits association factor) (AF) (TOM1 suppressor protein 1) (Triplex-binding protein 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]	DNA binding [GO:0003677]; ribosome binding [GO:0043022]; telomeric DNA binding [GO:0042162]; triplex DNA binding [GO:0045142]	negative regulation of apoptotic process [GO:0043066]; regulation of translational initiation in response to stress [GO:0043558]; telomere maintenance [GO:0000723]; TOR signaling [GO:0031929]; translational elongation [GO:0006414]	273	29,995
Q07478	SUB2_YEAST	ATP-dependent RNA helicase SUB2 (EC 3.6.4.13) (Suppressor of BRR1 protein 2)	chromosome, telomeric region [GO:0000781]; spliceosomal complex [GO:0005681]; transcription export complex [GO:0000346]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]	chromatin silencing at telomere [GO:0006348]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; RNA secondary structure unwinding [GO:0010501]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]	446	50,309
P53032	SUT1_YEAST	Sterol uptake protein 1	cytoplasm [GO:0005737]; nucleus [GO:0005634]	RNA polymerase II repressing transcription factor binding [GO:0001103]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; zinc ion binding [GO:0008270]	negative regulation of filamentous growth of a population of unicellular organisms in response to starvation by negative regulation of transcription from RNA polymerase II promoter [GO:1902352]; positive regulation of induction of conjugation with cellular fusion by negative regulation of transcription from RNA polymerase II promoter by pheromones [GO:1902353]; positive regulation of sterol import by positive regulation of transcription from RNA polymerase II promoter [GO:0035969]; transcription, DNA-templated [GO:0006351]	299	33,191
Q12286	SUT2_YEAST	Sterol uptake protein 2	nucleus [GO:0005634]	RNA polymerase II repressing transcription factor binding [GO:0001103]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; zinc ion binding [GO:0008270]	negative regulation of filamentous growth of a population of unicellular organisms in response to starvation by negative regulation of transcription from RNA polymerase II promoter [GO:1902352]; positive regulation of induction of conjugation with cellular fusion by negative regulation of transcription from RNA polymerase II promoter by pheromones [GO:1902353]; positive regulation of sterol import by positive regulation of transcription from RNA polymerase II promoter [GO:0035969]; transcription, DNA-templated [GO:0006351]	268	30,258
Q03088	SVL3_YEAST	Styryl dye vacuolar localization protein 3	cell cortex [GO:0005938]; cellular bud neck [GO:0005935]	NADP binding [GO:0050661]; oxidoreductase activity [GO:0016491]	endocytosis [GO:0006897]	825	92,144
Q06836	SYT1_YEAST	Arf guanine nucleotide exchange factor SYT1 (Arf-GEF SYT1) (Suppressor of YPT3 protein 1)	Golgi membrane [GO:0000139]	ARF guanyl-nucleotide exchange factor activity [GO:0005086]	exocytosis [GO:0006887]; positive regulation of ARF protein signal transduction [GO:0032014]; protein targeting to Golgi [GO:0000042]; response to endoplasmic reticulum stress [GO:0034976]; vesicle-mediated transport [GO:0016192]	1226	137,583
P04801	SYTC_YEAST	Threonine--tRNA ligase, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; threonine-tRNA ligase activity [GO:0004829]	threonyl-tRNA aminoacylation [GO:0006435]	734	84,52
Q12030	TAF10_YEAST	Transcription initiation factor TFIID subunit 10 (TAFII-23) (TAFII23) (TAFII-25) (TAFII25) (TBP-associated factor 10) (TBP-associated factor 25 kDa) (p25)	SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]	chromatin binding [GO:0003682]; protein complex scaffold [GO:0032947]	chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; regulation of transcription, DNA-templated [GO:0006355]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcription from RNA polymerase II promoter [GO:0006366]	206	23,019
Q03761	TAF12_YEAST	Transcription initiation factor TFIID subunit 12 (TAFII-61) (TAFII61) (TAFII-68) (TAFII68) (TBP-associated factor 12) (TBP-associated factor 61 kDa)	SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; transcription factor TFIID complex [GO:0005669]	chromatin binding [GO:0003682]; protein complex scaffold [GO:0032947]; RNA polymerase II activating transcription factor binding [GO:0001102]; TBP-class protein binding [GO:0017025]	chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; regulation of transcription, DNA-templated [GO:0006355]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcription from RNA polymerase II promoter [GO:0006366]	539	61,073
P48606	TBCA_YEAST	Tubulin-specific chaperone A (Tubulin-folding cofactor A) (CFA)	cytoplasm [GO:0005737]; microtubule [GO:0005874]	beta-tubulin binding [GO:0048487]; tubulin binding [GO:0015631]	post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	106	12,379
P53873	SWT21_YEAST	Protein SWT21 (Synthetic With TGS1 protein 21)	nucleus [GO:0005634]		mRNA splicing, via spliceosome [GO:0000398]	357	40,308
P40825	SYA_YEAST	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]	alanine-tRNA ligase activity [GO:0004813]; amino acid binding [GO:0016597]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	alanyl-tRNA aminoacylation [GO:0006419]; mitochondrial alanyl-tRNA aminoacylation [GO:0070143]; tRNA modification [GO:0006400]	983	110,059
P38088	SYG_YEAST	Glycine--tRNA ligase 1, mitochondrial (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase 1) (GlyRS 1) (GlyRS1)	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]	diadenosine tetraphosphate biosynthetic process [GO:0015966]; DNA-templated transcription, termination [GO:0006353]; glycyl-tRNA aminoacylation [GO:0006426]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]	690	78,184
P48526	SYIM_YEAST	Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]	isoleucyl-tRNA aminoacylation [GO:0006428]; mitochondrial isoleucyl-tRNA aminoacylation [GO:0070152]; mitochondrial translation [GO:0032543]	1002	115,794
P38705	SYSM_YEAST	Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (Digs into agar protein 4) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]	mitochondrial seryl-tRNA aminoacylation [GO:0070158]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]	446	50,39
P25345	SYNM_YEAST	Asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	asparagine-tRNA ligase activity [GO:0004816]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	asparaginyl-tRNA aminoacylation [GO:0006421]; mitochondrial asparaginyl-tRNA aminoacylation [GO:0070145]	492	56,785
P48527	SYYM_YEAST	Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]	mitochondrial tyrosyl-tRNA aminoacylation [GO:0070184]	492	55,287
Q12297	TAF3_YEAST	Transcription initiation factor TFIID subunit 3 (TAFII-47) (TAFII47) (TBP-associated factor 3) (TBP-associated factor 47 kDa)	transcription factor TFIID complex [GO:0005669]	chromatin binding [GO:0003682]	regulation of transcription, DNA-templated [GO:0006355]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcription from RNA polymerase II promoter [GO:0006366]	353	40,296
P50105	TAF4_YEAST	Transcription initiation factor TFIID subunit 4 (MPT-1) (TAF suppressor gene 2 protein) (TAFII-48) (TBP-associated factor 4) (TBP-associated factor 48 kDa)	transcription factor TFIID complex [GO:0005669]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; RNA polymerase II activating transcription factor binding [GO:0001102]	regulation of transcription, DNA-templated [GO:0006355]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcription from RNA polymerase II promoter [GO:0006366]	388	42,336
P25638	TAH1_YEAST	TPR repeat-containing protein associated with Hsp90	cytoplasm [GO:0005737]; nucleus [GO:0005634]; R2TP complex [GO:0097255]	chaperone binding [GO:0051087]	box C/D snoRNP assembly [GO:0000492]; protein folding [GO:0006457]	111	12,511
P40468	TAO3_YEAST	Cell morphogenesis protein PAG1 (Protein TAO3)	cell cortex [GO:0005938]; cellular bud [GO:0005933]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]		actin filament reorganization [GO:0090527]; budding cell apical bud growth [GO:0007118]; cell budding [GO:0007114]; cell morphogenesis [GO:0000902]	2376	269,858
P09436	SYIC_YEAST	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	cytosol [GO:0005829]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]	isoleucyl-tRNA aminoacylation [GO:0006428]	1072	122,984
Q06563	SYM1_YEAST	Protein SYM1 (Stress-inducible yeast MPV17 protein 1)	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]		ethanol metabolic process [GO:0006067]	197	22,915
P32774	T2AG_YEAST	Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA 13.5 kDa subunit) (Transcription initiation factor IIA small chain) (Transcription initiation factor IIA small subunit)	cytoplasm [GO:0005737]; transcription factor TFIIA complex [GO:0005672]	transcription coactivator activity [GO:0003713]	positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcription initiation from RNA polymerase II promoter [GO:0006367]	122	13,458
P41895	T2FA_YEAST	Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (TFIIF large subunit) (Transcription factor G 105 kDa subunit) (P105)	transcription factor TFIIF complex [GO:0005674]	catalytic activity [GO:0003824]; DNA binding [GO:0003677]; protein phosphatase activator activity [GO:0072542]; transcription factor activity, core RNA polymerase II binding [GO:0000991]	dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; promoter clearance from RNA polymerase II promoter [GO:0001111]; regulation of protein serine/threonine phosphatase activity [GO:0080163]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	735	82,194
P35189	TAF14_YEAST	Transcription initiation factor TFIID subunit 14 (Actin non-complementing mutant 1) (Chromosome stability protein 10) (SWI/SNF chromatin-remodeling complex subunit TAF14) (SWI/SNF complex 29 kDa subunit) (SWI/SNF complex subunit TAF14) (TBP-associated factor 14) (TBP-associated factor 30 kDa) (Transcription factor G 30 kDa subunit) (Transcription initiation factor TFIIF 30 kDa subunit)	Ino80 complex [GO:0031011]; mediator complex [GO:0016592]; NuA3a histone acetyltransferase complex [GO:1990467]; NuA3b histone acetyltransferase complex [GO:1990468]; NuA3 histone acetyltransferase complex [GO:0033100]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIF complex [GO:0005674]	transcription factor activity, core RNA polymerase II binding [GO:0000991]	chromatin remodeling [GO:0006338]; histone acetylation [GO:0016573]; nucleosome mobilization [GO:0042766]; promoter clearance from RNA polymerase II promoter [GO:0001111]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription from RNA polymerase II promoter [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]	244	27,44
P00958	SYMC_YEAST	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; methionyl glutamyl tRNA synthetase complex [GO:0017102]	ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]	methionyl-tRNA aminoacylation [GO:0006431]	751	85,678
Q07395	SYO1_YEAST	Synchronized import protein 1 (Symportin 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	unfolded protein binding [GO:0051082]	protein import into nucleus [GO:0006606]; ribosomal large subunit biogenesis [GO:0042273]	620	70,164
